index,flag1,flag2,ori,avel,acce,mp,temp ( Big-Endian )
0,01100000,00000000,0 0.25 0.031433105 0.0044555664,0 0.08111111 0,0 -2.56 9.6,0 0 0,4
0,01100000,00000000,0.0040283203 0.25097656 0.03149414 0,0.44444445 0.14888889 -0.42666668,0.96 -4.96 0,0 0 0,4
0,01100000,00000000,0 0.25 0.03125 0.00012207031,0.0022222223 0.017777778 0.008888889,0.16 -1.28 0,0 0 0,4
0,01100000,00000000,0.00012207031 0.25 0.033081055 0.0043945312,0.07111111 0.0044444446 0.008888889,0.1 -2.56 0,0 0 0,4
0,01100000,00000000,0.00018310547 0.25024414 0.03540039 0,0.0022222223 0.008888889 0,0 -1.28 0.04,0 0 0,4
0,01100000,00000000,0.00024414062 0.21972656 0.00390625 0,-0.062222224 0.01 0,0 0 8.96,0 0 0,4
0,01100000,00000000,0.00024414062 0.21887207 0.00390625 0.00030517578,0 0 0,0 -1.28 0.08,0 0 0,4
0,01100000,00000000,0 0.21881104 0 0,0 0.0022222223 -0.045555554,0.08 -2.54 9,0 0 0,4
0,01100000,00000000,0.00048828125 0.21875 0 0,0 0 0.024444444,0 0 8.98,0 0 0,4
0,01100000,00000000,0.0007324219 0.21881104 0.00024414062 0,0.0044444446 0 0,0 -1.28 0,0 0 0,4
0,01100000,00000000,0.0021972656 0.2197876 0.00018310547 0,0.008888889 0.0011111111 0,0 0.02 9.12,0 0 0,4
8,01100000,00000000,0 0.21875 0 0.00390625,-0.14222223 0 0.008888889,0.02 -1.28 0.02,0 0 0,4
8,01100000,00000000,0.00024414062 0.21887207 0 0.00024414062,-0.14 0.02 0.018888889,1.28 -2.51 8.96,0 0 0,4
0,01100000,00000000,0.0009765625 0.21881104 0 0.00390625,-0.19555555 0 0.0022222223,0 0.08 8.96,0 0 0,4
0,01100000,00000000,0.0010986328 0.21899414 0.00390625 0.00390625,0.017777778 0.0044444446 0,0.04 -1.28 9.12,0 0 0,4
0,01100000,00000000,0 0.21972656 0.0059814453 0,0.0044444446 0 0.04111111,0.06 -1.28 9.08,0 0 0,4
0,01100000,00000000,0.008056641 0.21881104 0.03125 0.0009765625,0 0.035555556 0.08222222,1.32 -2.56 0.04,0 0 0,4
0,01100000,00000000,0 0.21875 0.0009765625 6.1035156E-05,0.008888889 0 0.035555556,0 0 9.04,0 0 0,4
0,01100000,00000000,0 0.21923828 0.03137207 0.0009765625,0.0022222223 0 0.036666665,0.08 -1.28 8.96,0 0 0,4
0,01100000,00000000,0 0.25006104 0.03125 0.00390625,0.0011111111 0.017777778 0.037777778,0 -1.09 8.96,0 0 0,4
0,01100000,00000000,0.0078125 0.25 0.03137207 0,0 0 0.035555556,0.13 -1.28 9.12,0 0 0,4
0,01100000,00000000,0.0029296875 0.25 0.03125 0.00024414062,-0.101111114 0.008888889 0.035555556,0.02 -1.28 0.07,0 0 0,4
0,01100000,00000000,0 0.25 0.031311035 6.1035156E-05,0.0044444446 0 0.026666667,1.28 -2.56 8.96,0 0 0,4
0,01100000,00000000,0.0020141602 0.25 0.032226562 0,0.026666667 0 0.053333335,0 -1.18 9.02,0 0 0,4
0,01100000,00000000,0.00018310547 0.21923828 0.03125 0.001953125,0.07111111 0 0.08888889,0 -1.28 9.16,0 0 0,4
0,01100000,00000000,0.00012207031 0 0.03125 0.0030517578,0.0044444446 -34.133335 -17.921112,0 -2.56 8.96,0 0 0,4
0,01100000,00000000,0 0 0.03137207 0.0030517578,0 -0.07111111 0.008888889,0.01 -1.24 8.96,0 0 0,4
8,01100000,00000000,6.1035156E-05 0 0.031433105 0.0010986328,0.036666665 0.0044444446 0,0 -1.2 8.96,0 0 0,4
8,01100000,00000000,0.0078125 0 0.033081055 6.1035156E-05,0.0022222223 0.036666665 0,0.04 -1.12 8.96,0 0 0,4
0,01100000,00000000,0.008056641 0 0.032226562 0.001953125,0 0.044444446 0,0 0 8.96,0 0 0,4
0,01100000,00000000,0.0012817383 0.00048828125 0.03125 0.00024414062,0 0.017777778 0.07333333,0.02 0 9.28,0 0 0,4
0,01100000,00000000,0.00024414062 0.00012207031 0.03125 0,0.0011111111 0.008888889 0,0 0 9.28,0 0 0,4
32,01100000,00000000,0 0.00012207031 0.03125 0,0.008888889 -0.13333334 0.035555556,0 0 8.96,0 0 0,4
32,01100000,00000000,0.0087890625 0 0.062561035 0,0.017777778 0.008888889 0,0 0 9.29,0 0 0,4
32,01100000,00000000,6.1035156E-05 0 0.0625 0.00048828125,0.017777778 -0.11444444 0,10.26 -2.56 -0.01,0 0 0,4
32,01100000,00000000,0.00390625 6.1035156E-05 0.0625 0.00012207031,-0.044444446 0 0,0.8 0 0,0 0 0,4
32,01100000,00000000,0.0078125 0.28149414 0.0625 0.00012207031,-0.14222223 0.07111111 0,0.08 -1.24 0.16,0 0 0,4
32,01100000,00000000,0 0.28125 0.0625 6.1035156E-05,0.0011111111 0.07111111 0.008888889,0.01 -1.12 8.96,0 0 0,4
32,01100000,00000000,0 0.2816162 0.06286621 0.00061035156,0 0.0011111111 0,0 -1.28 0.16,0 0 0,4
32,01100000,00000000,0 0.28131104 0.0625 0.0010986328,0 -0.07111111 0.01,0 -1.28 0,0 0 0,4
32,01100000,00000000,0 0.28125 0.06567383 0,0.0044444446 -0.064444445 -0.035555556,0.01 -1.28 8.96,0 0 0,4
32,01100000,00000000,0.005859375 0.28125 0.064453125 0,0.035555556 0.0011111111 0.053333335,0 0.08 8.96,0 0 0,4
32,01100000,00000000,6.1035156E-05 0 0.0625 0.0029296875,0 0.035555556 -22.755556,0 -1.25 9.6,0 0 0,4
40,01100000,00000000,0 0 0.064453125 0.00012207031,0.07111111 -0.17777778 0.0011111111,0.04 -1.28 8.96,0 0 0,4
32,01100000,00000000,0 0.25 0.06652832 0.04699707,0.045555554 0 -0.55,0.08 0 7.78,0 0 0,4
33,01100000,00000000,0.00091552734 -0.7498779 0.5626221 0.037597656,0.006666667 0.0011111111 0.04111111,0 -1.92 8.97,0 0 0,5
34,01100000,00000000,0.0009765625 -0.73620605 0.5050049 0.03125,0.09777778 0.10666667 -0.7777778,0.64 0.04 9.49,0 0 0,5
35,01100000,00000000,0.005859375 -0.7474365 0.5 0.033203125,0.0022222223 0.19222222 -0.14222223,0.75 0 9.12,0 0 0,5
48,01100000,00000000,0.032226562 -0.74993896 0.5091553 0.034179688,0.15555556 0.062222224 0.036666665,0.96 -0.52 9.04,0 0 0,5
49,01100000,00000000,0 0 0 0,0.0055555557 0.008888889 0,0.32 -0.57 9.36,0 0 0,5
50,01100000,00000000,0.15783691 0.001953125 0.8066406 0.005859375,0.0022222223 -0.42555556 0.30222222,0.14 0.75 8.36,0 0 0,5
51,01100000,00000000,0.15844727 0 0.80688477 0.0043945312,0.055555556 0 0.008888889,1.37 -2.24 -0.01,0 0 0,5
48,01100000,00000000,0.16113281 -0.5566406 0.01965332 0.004211426,0.12888889 0.14222223 0.09777778,0.8 -0.52 9.31,0 0 0,5
49,01100000,00000000,0.16271973 -0.5571289 0.048095703 0.00048828125,0.16 0.006666667 -0.062222224,0.14 -0.26 8.8,0 0 0,5
50,01100000,00000000,0.1661377 0.0009765625 0.0546875 0.021484375,0.31111112 0.0022222223 0.39333335,0.07 0.04 8.33,0 0 0,5
51,01100000,00000000,0.17285156 0.00024414062 0.058654785 0.00036621094,0.017777778 0.03888889 0.30222222,0 -0.6 0.04,0 0 0,5
56,01100000,00000000,0.2109375 0.0012817383 0.0126953125 0.052734375,0.008888889 -1.1966667 0.075555556,0.03 0.1 8.32,0 0 0,5
1,01100000,00000000,0.3232422 0.0010986328 0.032470703 0.0107421875,0.044444446 -0.052222222 -0.04777778,0.41 1.69 7.72,0 0 0,5
0,01100000,00000000,0.32354736 0.0009765625 0.03161621 0.008911133,0 -0.062222224 0.011111111,0.2 3.04 6.62,0 0 0,5
1,01100000,00000000,0.328125 0.0078125 0.03125 0,-0.035555556 0 0.09888889,0.06 0 7.68,0 0 0,5
4,01100000,00000000,0.328125 0.007873535 0.032714844 0.0005493164,-0.07111111 0.031111112 0,0.02 1.92 7.74,0 0 0,5
5,01100000,00000000,0.328125 0.008605957 0.032226562 0.0020751953,-0.031111112 0.036666665 0.0044444446,0.01 1.12 7.68,0 0 0,4
8,01100000,00000000,0.32287598 0.0087890625 0.03137207 0.0029296875,0.017777778 0.0022222223 0.014444444,0.32 0 7.78,0 0 0,4
9,01100000,00000000,0.32250977 0.0087890625 0.03125 0.011291504,-0.014444444 0.0044444446 0.008888889,0 2.24 7.12,0 0 0,4
0,01100000,00000000,0.32226562 0.009277344 0.033325195 0.01171875,0.06888889 0.018888889 0,0.53 0.11 7.76,0 0 0,4
1,01100000,00000000,0.3203125 0.010253906 0.032226562 0.010925293,0 -0.05888889 0.006666667,0.16 1.76 7.69,0 0 0,4
0,01100000,00000000,0.32086182 0.013305664 0.03326416 0.01184082,0.008888889 0.014444444 0.04,0.28 1.67 8.33,0 0 0,4
